City_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
62,Kapaa,US,12/4/2021 4:10,22.0752,-159.319,73.38,68,1,4,clear sky
63,Bembereke,BJ,12/4/2021 4:10,10.2283,2.6634,69.22,27,71,4.23,broken clouds
64,Esperance,AU,12/4/2021 4:10,-33.8667,121.9,70.05,51,0,17.81,clear sky
65,Fairbanks,US,12/4/2021 4:10,64.8378,-147.7164,-22.02,69,1,3.44,clear sky
66,Honiara,SB,12/4/2021 4:05,-9.4333,159.95,83.8,78,100,5.19,overcast clouds
67,Hobart,AU,12/4/2021 4:06,-42.8794,147.3294,61.02,50,40,5.01,scattered clouds
68,Tukrah,LY,12/4/2021 4:09,32.5341,20.5791,59.7,80,94,1.7,overcast clouds
69,Phonhong,LA,12/4/2021 4:10,18.5007,102.4166,71.42,46,87,1.41,overcast clouds
70,Nirsa,IN,12/4/2021 4:10,23.7833,86.7167,72.99,58,100,1.3,overcast clouds
71,Gidole,ET,12/4/2021 4:10,5.65,37.3667,54.82,69,7,3.4,clear sky
72,Yellowknife,CA,12/4/2021 4:10,62.456,-114.3525,-8.54,92,100,10.54,overcast clouds
73,Kenai,US,12/4/2021 4:10,60.5544,-151.2583,0.03,84,1,4.61,light snow
74,Butaritari,KI,12/4/2021 4:10,3.0707,172.7902,82.85,75,92,13.09,overcast clouds
75,Clyde River,CA,12/4/2021 4:10,70.4692,-68.5914,8.83,85,85,13.8,overcast clouds
76,Makushino,RU,12/4/2021 4:10,55.2103,67.2442,22.5,94,22,9.78,few clouds
77,Olinda,BR,12/4/2021 4:06,-8.0089,-34.8553,80.33,83,40,6.91,scattered clouds
78,Kimbe,PG,12/4/2021 4:10,-5.5502,150.1429,84.69,77,99,2.8,moderate rain
79,Rikitea,PF,12/4/2021 4:09,-23.1203,-134.9692,76.6,73,71,13.76,broken clouds
80,Hirara,JP,12/4/2021 4:10,24.8,125.2833,67.87,55,43,22.57,scattered clouds
81,Hermanus,ZA,12/4/2021 4:10,-34.4187,19.2345,59.9,78,83,14.65,broken clouds
82,Galesong,ID,12/4/2021 4:10,-5.3166,119.3661,86.02,66,100,6.51,overcast clouds
83,Hilo,US,12/4/2021 4:06,19.7297,-155.09,78.53,82,90,12.66,light rain
84,Pyaozerskiy,RU,12/4/2021 4:10,65.8333,31.1667,13.48,95,99,7.81,overcast clouds
85,Luis Correia,BR,12/4/2021 4:10,-2.8792,-41.6669,80.38,81,89,10.78,overcast clouds
86,Guerrero Negro,MX,12/4/2021 4:10,27.9769,-114.0611,61.88,84,42,11.61,scattered clouds
87,Ribeira Grande,PT,12/4/2021 4:10,38.5167,-28.7,65.07,82,100,11.14,overcast clouds
88,Chokurdakh,RU,12/4/2021 4:10,70.6333,147.9167,-29.49,97,100,8.75,overcast clouds
89,Ovsyanka,RU,12/4/2021 4:10,55.9575,92.5519,33.22,87,78,15.95,broken clouds
90,Cape Town,ZA,12/4/2021 4:10,-33.9258,18.4232,62.35,72,66,5.01,broken clouds
91,Pisco,PE,12/4/2021 4:10,-13.7,-76.2167,66.25,82,99,1.14,overcast clouds
92,Mataura,NZ,12/4/2021 4:09,-46.1927,168.8643,63.82,95,100,3.15,moderate rain
93,Houma,US,12/4/2021 4:08,29.5958,-90.7195,63,97,30,1.01,scattered clouds
94,Busselton,AU,12/4/2021 4:09,-33.65,115.3333,82.09,36,8,0.92,clear sky
